Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
20-03-17,43840,44020,43590,43770,43214.41406,37084,,,,,,
21-03-17,43700,43780,43010,43100,42552.91406,39123,,,,,,
22-03-17,42960,43150,42370,42400,41861.80078,61515,,,,,,
23-03-17,42310,42340,41570,41660,41131.19141,77112,,,,,,
26-03-17,41560,41590,40830,40870,40351.22656,49044,,,,,,
27-03-17,40710,40710,40030,40160,39650.23438,91513,,,,,,
28-03-17,40150,40640,39500,40640,40124.14063,114509,,,,,,
29-03-17,41100,41670,41000,41400,40874.92969,104873,,,,,,
30-03-17,41400,41460,40510,41460,40934.61328,168831,,,,,,
02-04-17,41300,41790,41230,41790,41304.25391,31359,,,,,,
03-04-17,41900,41900,41360,41400,40918.79297,52784,,,,,,
04-04-17,41700,41700,40820,41380,40899.02734,69522,,,,,,
05-04-17,41670,41910,41200,41910,41422.85938,65320,,,,,,
06-04-17,41650,42780,41480,42600,42104.84766,125758,,,,,,
09-04-17,42410,42660,42300,42580,42085.07813,27629,,,,,,
12-04-17,42790,43120,42300,42300,41808.33203,29719,,,,,,
13-04-17,42110,42240,41310,41750,41264.72266,35847,,,,,,
18-04-17,41700,41750,41190,41730,41244.94922,46736,,,,,,
19-04-17,41730,42830,41650,42520,42025.77734,48147,,,,,,
20-04-17,42500,42840,42330,42600,42104.84766,44413,,,,,,
23-04-17,42600,42670,42120,42350,41857.75391,20023,,,,,,
24-04-17,42740,43420,42710,43420,42915.31641,47029,,,,,,
25-04-17,43420,43450,43120,43400,42895.55078,39368,,,,,,
26-04-17,43300,43540,43160,43520,43014.15234,39481,,,,,,
27-04-17,43390,43430,43060,43150,42648.45703,84153,,,,,,
30-04-17,42990,42990,42500,42690,42193.79688,21493,,,,,,
03-05-17,42680,42680,42030,42250,41758.90234,53850,,,,,,
04-05-17,null,null,null,null,null,null,,,,,,
07-05-17,42420,42480,42050,42200,41709.48828,18419,,,,,,
08-05-17,42330,42960,42330,42860,42361.81641,47925,,,,,,
09-05-17,42900,43230,42900,43150,42648.45703,38412,,,,,,
10-05-17,43250,43480,43190,43480,42974.625,50255,,,,,,
11-05-17,43210,43330,42730,43080,42579.26172,44619,,,,,,
